Team	TeamId	HomeGoalsAve	AwayGoalsAve	HomeGoalsTotal	AwayGoalsTotal	HomeGoalsHalfAve	AwayGoalsHalfAve	HomeGoalsHalfTotal	AwayGoalsHalfTotal	HomeShotsAve	AwayShotsAve	HomeShotsTotal	AwayShotsTotal	HomeShotsOnTargetAve	AwayShotsOnTargetAve	HomeFirstHalfDifferentialAve	AwayFirstHalfDifferentialAve	HomeGameDifferentialAve	AwayGameDifferentialAve	HomeFirstToSecondHalfGoalRatioAve	AwayFirstToSecondHalfGoalRatioAve
Arsenal	arsenal	2.269662921348315	1.7727272727272727	202	156	0.9438202247191011	0.9431818181818182	84	83	17.730337078651687	13.409090909090908	1578	1180	6.01123595505618	4.625	0.6404494382022472	0.4659090909090909	1.3370786516853932	0.7727272727272727	0.3783068783068783	0.3645833333333333
Bournemouth	bournemouth	1.2857142857142858	1.4492753623188406	90	100	0.5285714285714286	0.5942028985507246	37	41	13.771428571428572	12.391304347826088	964	855	4.771428571428571	4.507246376811594	-0.07142857142857142	-0.3188405797101449	0.05714285714285714	-0.6086956521739131	0.014705882352941176	5.415722071342227e-18
Wolves	wolves	1.1573033707865168	0.9772727272727273	103	86	0.6067415730337079	0.3977272727272727	54	35	11.314606741573034	10.25	1007	902	4.056179775280899	3.397727272727273	-0.06741573033707865	-0.36363636363636365	-0.3595505617977528	-0.7045454545454546	-0.11574074074074073	-0.35526315789473684
Liverpool	liverpool	2.3258426966292136	1.9772727272727273	207	174	1.0337078651685394	0.8295454545454546	92	73	19.741573033707866	15.943181818181818	1757	1403	6.775280898876405	5.488636363636363	0.651685393258427	0.18181818181818182	1.5056179775280898	0.6477272727272727	0.4090909090909091	0.09375
Brighton	brighton	1.5280898876404494	1.5113636363636365	136	133	0.6629213483146067	0.5795454545454546	59	51	15.764044943820224	12.715909090909092	1403	1119	5.292134831460674	4.75	0.056179775280898875	-0.20454545454545456	0.2808988764044944	-0.07954545454545454	0.04807692307692308	-0.19861111111111113
Southampton	southampton	0.9649122807017544	0.8771929824561403	55	50	0.543859649122807	0.3508771929824561	31	20	11.0	10.789473684210526	627	615	3.9298245614035086	3.491228070175439	-0.19298245614035087	-0.7719298245614035	-0.9298245614035088	-1.1929824561403508	-0.4351851851851852	-0.717391304347826
Brentford	brentford	1.6931818181818181	1.3258426966292134	149	118	0.75	0.550561797752809	66	49	12.511363636363637	10.224719101123595	1101	910	4.75	4.0	0.17045454545454544	-0.21348314606741572	0.32954545454545453	-0.2247191011235955	0.2358490566037736	-0.12862318840579712
Ipswich	ipswich	0.7368421052631579	1.1578947368421053	14	22	0.42105263157894735	0.7368421052631579	8	14	10.947368421052632	8.842105263157896	208	168	3.5789473684210527	3.1052631578947367	-0.7368421052631579	-0.21052631578947367	-1.5789473684210527	-0.8421052631578947	-0.5	-0.25
Sunderland	sunderland	1.75	0.46153846153846156	21	6	0.5833333333333334	0.15384615384615385	7	2	10.75	8.615384615384615	129	112	3.75	2.8461538461538463	0.25	-0.6923076923076923	1.0	-1.0769230769230769	0.25	-1.0
Everton	everton	1.2045454545454546	0.9101123595505618	106	81	0.5113636363636364	0.42696629213483145	45	38	12.625	10.539325842696629	1111	938	4.340909090909091	3.292134831460674	0.03409090909090909	-0.3258426966292135	-0.03409090909090909	-0.6292134831460674	0.056818181818181816	-0.3611111111111111
Sheffield United	sheffield_united	1.0	0.8421052631578947	19	16	0.3684210526315789	0.3684210526315789	7	7	10.842105263157896	8.526315789473685	206	162	3.789473684210526	3.0	-1.0	-0.42105263157894735	-2.0	-1.631578947368421	-0.5625	0.0
Leeds	leeds	1.3137254901960784	1.14	67	57	0.6078431372549019	0.48	31	24	13.784313725490197	11.2	703	560	4.176470588235294	3.74	-0.0784313725490196	-0.4	-0.5098039215686274	-1.0	-0.0632183908045977	-0.2847222222222222
Burnley	burnley	0.9607843137254902	1.02	49	51	0.43137254901960786	0.46	22	23	12.0	9.08	612	454	3.607843137254902	3.12	-0.5098039215686274	-0.34	-0.7450980392156863	-0.84	-0.537878787878788	-0.3695652173913043
Nott'm Forest	nottm_forest	1.3478260869565217	1.1	93	77	0.6666666666666666	0.5142857142857142	46	36	12.26086956521739	10.485714285714286	846	734	3.9420289855072466	3.6285714285714286	0.2318840579710145	-0.38571428571428573	0.07246376811594203	-0.7714285714285715	0.03676470588235294	-0.16666666666666666
Norwich	norwich	0.631578947368421	0.5789473684210527	12	11	0.3684210526315789	0.21052631578947367	7	4	10.68421052631579	9.0	203	171	3.3157894736842106	2.4210526315789473	-0.5789473684210527	-0.631578947368421	-1.631578947368421	-1.5789473684210527	-0.4	-0.4
Tottenham	tottenham	1.8522727272727273	1.6741573033707866	163	149	0.7272727272727273	0.7415730337078652	64	66	14.602272727272727	12.089887640449438	1285	1076	5.465909090909091	4.629213483146067	0.03409090909090909	-0.033707865168539325	0.4659090909090909	0.07865168539325842	0.018361581920903956	-0.18055555555555555
Luton	luton	1.4736842105263157	1.263157894736842	28	24	0.47368421052631576	0.5789473684210527	9	11	13.894736842105264	8.789473684210526	264	167	4.421052631578948	3.0	-0.47368421052631576	-0.05263157894736842	-0.47368421052631576	-1.263157894736842	-0.5357142857142857	-0.55
Watford	watford	0.8947368421052632	0.8947368421052632	17	17	0.5263157894736842	0.3684210526315789	10	7	11.368421052631579	9.473684210526315	216	180	3.6315789473684212	3.0526315789473686	-0.42105263157894735	-0.5789473684210527	-1.5263157894736843	-0.7368421052631579	-0.3333333333333333	-0.5
